station_id;Sum;altitude;latitude;longitude;name;state
216;322.7;298;51.1143;7.8807;Attendorn-Neulisternohl;Nordrhein-Westfalen
389;335.8;436;51.0148;8.4318;Berleburg, Bad-Arfeld;Nordrhein-Westfalen
390;378.5;610;50.9837;8.3683;Berleburg, Bad-Stünzel;Nordrhein-Westfalen
613;395.1;206;51.5677;9.2324;Borgentreich;Nordrhein-Westfalen
644;387.59999999999997;150;51.7049;9.1738;Brakel;Nordrhein-Westfalen
796;417.2;412;50.7556;8.1257;Burbach-Würgendorf;Nordrhein-Westfalen
934;348.40000000000003;88;51.7835;8.5658;Delbrück;Nordrhein-Westfalen
1300;412.1;351;51.254;8.1565;Eslohe;Nordrhein-Westfalen
2483;501.6;839;51.1803;8.4891;Kahler Asten;Nordrhein-Westfalen
2947;294.7;286;51.1333;8.0348;Lennestadt-Theten;Nordrhein-Westfalen
3028;379.7;157;51.7854;8.8388;Lippspringe, Bad;Nordrhein-Westfalen
3031;370.9;92;51.6336;8.3945;Lippstadt-Bökenförde;Nordrhein-Westfalen
3098;336.8;387;51.2452;7.6425;Lüdenscheid;Nordrhein-Westfalen
3215;291.7;375;51.1683;8.7125;Medebach-Berge;Nordrhein-Westfalen
3499;388.5;292;51.2915;7.853;Neuenrade-Blintrop;Nordrhein-Westfalen
4127;360.8;347;50.9906;7.6958;Reichshof-Eckenhagen;Nordrhein-Westfalen
4313;374.79999999999995;370;51.4966;8.4342;Rüthen;Nordrhein-Westfalen
4368;345.0;93;51.7098;8.5796;Salzkotten;Nordrhein-Westfalen
4400;373.1;171;51.5439;8.1808;Sassendorf, Bad-Beusingsen;Nordrhein-Westfalen
4488;374.19999999999993;443;51.2127;8.2672;Schmallenberg-Sellinghausen;Nordrhein-Westfalen
4692;327.2;229;50.8534;7.9966;Siegen (Kläranlage);Nordrhein-Westfalen
5347;371.1;236;51.5039;9.1118;Warburg;Nordrhein-Westfalen
5360;444.90000000000003;331;51.4319;8.2665;Warstein-Hirschberg;Nordrhein-Westfalen
5468;346.5;418;50.9377;7.8475;Wenden-Dörnscheid;Nordrhein-Westfalen
5480;285.4;85;51.5763;7.8879;Werl;Nordrhein-Westfalen
5619;341.6;360;51.1637;7.4234;Wipperfürth-Gardeweg;Nordrhein-Westfalen
5699;335.79999999999995;312;51.5427;8.7784;Wünnenberg-Eilern;Nordrhein-Westfalen
6264;389.9;457;51.413999999999994;8.65;Brilon-Thülen;Nordrhein-Westfalen
6276;337.2;235;51.4895;7.7813;Fröndenberg-Hohenheide;Nordrhein-Westfalen
6313;386.9;440;51.2488;7.4672;Breckerfeld-Wengeberg;Nordrhein-Westfalen
7330;418.2;159;51.4633;7.978;Arnsberg-Neheim;Nordrhein-Westfalen
13700;357.1;205;51.3329;7.3411;Gevelsberg-Oberbröking;Nordrhein-Westfalen
13713;402.4;386;51.0899;7.6289;Meinerzhagen-Redlendorf;Nordrhein-Westfalen
